vocabPrefix,domain,uri version
brt,Environment,https://lov.linkeddata.es/dataset/lov/vocabs/brt/versions/2018-03-29.n3
brt,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/brt/versions/2018-03-29.n3
bto,Industry,https://lov.linkeddata.es/dataset/lov/vocabs/bto/versions/2017-10-27.n3
c4n,Contracts,https://lov.linkeddata.es/dataset/lov/vocabs/c4n/versions/2010-02-04.n3
c4o,SPAR,https://lov.linkeddata.es/dataset/lov/vocabs/c4o/versions/2013-05-11.n3
cal,Time,https://lov.linkeddata.es/dataset/lov/vocabs/cal/versions/2015-01-11.n3
cart,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/cart/versions/2015-07-03.n3
cart,Geometry,https://lov.linkeddata.es/dataset/lov/vocabs/cart/versions/2015-07-03.n3
cbo,Image,https://lov.linkeddata.es/dataset/lov/vocabs/cbo/versions/2015-12-05.n3
cbo,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/cbo/versions/2015-12-05.n3
cbs,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/cbs/versions/2018-05-02.n3
cbs,Government,https://lov.linkeddata.es/dataset/lov/vocabs/cbs/versions/2018-05-02.n3
cc,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/cc/versions/2008-03-03.n3
cci,Industry,https://lov.linkeddata.es/dataset/lov/vocabs/cci/versions/2018-05-23.n3
cci,Services,https://lov.linkeddata.es/dataset/lov/vocabs/cci/versions/2018-05-23.n3
cco,People,https://lov.linkeddata.es/dataset/lov/vocabs/cco/versions/2010-09-26.n3
ccp,Industry,https://lov.linkeddata.es/dataset/lov/vocabs/ccp/versions/2018-05-23.n3
ccp,Support,https://lov.linkeddata.es/dataset/lov/vocabs/ccp/versions/2018-05-23.n3
ccr,Geography,https://lov.linkeddata.es/dataset/lov/vocabs/ccr/versions/2018-05-23.n3
ccr,Industry,https://lov.linkeddata.es/dataset/lov/vocabs/ccr/versions/2018-05-23.n3
ccr,Services,https://lov.linkeddata.es/dataset/lov/vocabs/ccr/versions/2018-05-23.n3
ccsla,Services,https://lov.linkeddata.es/dataset/lov/vocabs/ccsla/versions/2018-05-23.n3
ccsla,Support,https://lov.linkeddata.es/dataset/lov/vocabs/ccsla/versions/2018-05-23.n3
cdm,RDF,https://lov.linkeddata.es/dataset/lov/vocabs/cdm/versions/2011-09-23.n3
cdtype,Catalogs,https://lov.linkeddata.es/dataset/lov/vocabs/cdtype/versions/2013-08-20.n3
ceo,Industry,https://lov.linkeddata.es/dataset/lov/vocabs/ceo/versions/2012-07-03.n3
cerif,General & Upper,https://lov.linkeddata.es/dataset/lov/vocabs/cerif/versions/2013-04-23.n3
cert,Quality,https://lov.linkeddata.es/dataset/lov/vocabs/cert/versions/2008-11-13.n3
cff,Environment,https://lov.linkeddata.es/dataset/lov/vocabs/cff/versions/2011-06-20.n3
cfp,Environment,https://lov.linkeddata.es/dataset/lov/vocabs/cfp/versions/2011-06-20.n3
cfp,IoT,https://lov.linkeddata.es/dataset/lov/vocabs/cfp/versions/2011-06-20.n3
cfrl,eBusiness,https://lov.linkeddata.es/dataset/lov/vocabs/cfrl/versions/2014-09-01.n3
cgov,Government,https://lov.linkeddata.es/dataset/lov/vocabs/cgov/versions/2012-08-28.n3
chord,Music,https://lov.linkeddata.es/dataset/lov/vocabs/chord/versions/2007-10-25.n3
ci,Metadata,https://lov.linkeddata.es/dataset/lov/vocabs/ci/versions/2018-10-06.n3
cis,Events,https://lov.linkeddata.es/dataset/lov/vocabs/cis/versions/2016-03-30.n3
cis,Government,https://lov.linkeddata.es/dataset/lov/vocabs/cis/versions/2016-03-30.n3
cis,Multimedia,https://lov.linkeddata.es/dataset/lov/vocabs/cis/versions/2016-03-30.n3
cito,SPAR,https://lov.linkeddata.es/dataset/lov/vocabs/cito/versions/2018-02-16.n3
citof,SPAR,https://lov.linkeddata.es/dataset/lov/vocabs/citof/versions/2013-05-20.n3
cl,Multimedia,https://lov.linkeddata.es/dataset/lov/vocabs/cl/versions/2015-03-29.n3
cld,Catalogs,https://lov.linkeddata.es/dataset/lov/vocabs/cld/versions/2013-08-20.n3
